Id,Sales_Price,Baths,Land_size,Beds,House_size,Location
7590,75000000,5,16.4,5,4500,"KandyCity,Kandy"
7591,16500000,2,10.2,3,1700,"Panadura,Kalutara"
7592,4600000,1,15,3,1250,"Hikkaduwa,Galle"
7593,17000000,1,15,1,1900,"Athurugiriya,Colombo"
7594,19000000,1,8,3,1200,"Malabe,Colombo"
7595,25500000,3,9.15,5,1800,"Maharagama,Colombo"
7596,14200000,2,7.86,3,1100,"Malabe,Colombo"
7597,22500000,3,6.3,4,2200,"Malabe,Colombo"
7598,12000000,2,6.7,3,1200,"Kadawatha,Gampaha"
7599,64000000,7,17.5,5,2800,"Talawatugoda,Colombo"
7600,49500000,4,10,4,4200,"Talawatugoda,Colombo"
7601,26500000,3,10,4,3500,"Negombo,Gampaha"
7602,54500000,3,35,6,4240,"Mirigama,Gampaha"
7603,7500000,1,24,3,2400,"Padukka,Colombo"
7604,9700000,1,9.9,3,1525,"MataraCity,Matara"
7605,65000000,3,10,5,4000,"Battaramulla,Colombo"
7606,170000000,9,17.5,9,12000,"Battaramulla,Colombo"
7607,18500000,1,10,3,1800,"Pannipitiya,Colombo"
7608,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7609,50000000,6,7,8,5000,"Nugegoda,Colombo"
7610,28000000,2,10.5,4,2000,"Battaramulla,Colombo"
7611,47000000,4,11.7,5,3050,"Battaramulla,Colombo"
7612,25500000,4,6.2,4,2250,"Boralesgamuwa,Colombo"
7613,25500000,4,6.2,4,2250,"Piliyandala,Colombo"
7614,16500000,2,7.5,3,1250,"Malabe,Colombo"
7615,23500000,4,7,4,2000,"Malabe,Colombo"
7616,24500000,2,21,4,2000,"Kottawa,Colombo"
7617,25500000,4,6.2,4,2550,"Piliyandala,Colombo"
7618,38500000,4,47,5,3850,"Mirigama,Gampaha"
7619,170000000,5,27,6,7100,"Nugegoda,Colombo"
7620,65000000,5,12,5,3800,"Nugegoda,Colombo"
7621,12000000,2,21,3,1510,"Piliyandala,Colombo"
7622,12500000,2,8.8,3,1600,"Piliyandala,Colombo"
7623,14500000,2,6,4,1600,"Piliyandala,Colombo"
7624,21000000,4,6,4,2005,"Athurugiriya,Colombo"
7625,20500000,3,6.5,3,2000,"Athurugiriya,Colombo"
7626,25500000,4,6.2,4,2200,"Piliyandala,Colombo"
7627,28500000,4,7.7,5,2500,"Piliyandala,Colombo"
7628,26000000,3,7,4,2200,"Piliyandala,Colombo"
7629,12000000,1,2,2,800,"Dehiwala,Colombo"
7630,36000000,4,10,4,3000,"Malabe,Colombo"
7631,28000000,4,10,4,2800,"Athurugiriya,Colombo"
7632,14000000,3,8,3,1652,"Piliyandala,Colombo"
7633,17500000,4,7.5,4,1800,"Kottawa,Colombo"
7634,12000000,1,10,4,1800,"Panadura,Kalutara"
7635,26000000,3,8.5,4,2300,"Piliyandala,Colombo"
7636,17500000,3,10,5,2500,"Kottawa,Colombo"
7637,33500000,5,16,6,3600,"Kottawa,Colombo"
7638,33000000,3,8,4,2900,"Kottawa,Colombo"
7639,25500000,4,7.5,4,2985,"Piliyandala,Colombo"
7640,96500000,4,23,5,4500,"Dehiwala,Colombo"
7641,15000000,2,7.5,3,1050,"Kottawa,Colombo"
7642,7000000,1,20,2,5445,"GalleCity,Galle"
7643,21000000,4,6,4,2005,"Malabe,Colombo"
7644,25500000,3,10,5,2700,"Piliyandala,Colombo"
7645,9700000,2,11,3,1500,"Piliyandala,Colombo"
